id,modelId,modelVersionId,modelTaskId,type,createdAt,labelId,data,note,probability,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID
O_oz4jaD,429,700,1578,ANNOTATION,2023-07-11T03:38:07.616Z,L_dDLgQd,,,"[{'labelId': 'L_dDLgQd', 'probability': 0.86}]",1.2.826.0.1.3680043.8.498.13074467006869484003213046006557974328,1.2.826.0.1.3680043.8.498.44440015397101101945720287133084170115,1.2.826.0.1.3680043.8.498.11766061963567468264813177396609460485
O_1VqRmq,429,700,1578,ANNOTATION,2023-07-11T03:38:07.633Z,L_dDLgQd,,,"[{'labelId': 'L_dDLgQd', 'probability': 0.72}]",1.2.826.0.1.3680043.8.498.31806663333543740151155479355873968622,1.2.826.0.1.3680043.8.498.51108817986271182594236671763285813775,1.2.826.0.1.3680043.8.498.72577543082989613832268864283720115698
O_l6GANO,429,700,1578,ANNOTATION,2023-07-11T03:38:07.662Z,L_lbae3B,,,"[{'labelId': 'L_lbae3B', 'probability': 0.98}]",1.2.826.0.1.3680043.8.498.28845776163304138436016578669020982292,1.2.826.0.1.3680043.8.498.12560413043610120225355175815287410310,1.2.826.0.1.3680043.8.498.27259052089196560684067011889417496722
O_x5K0j5,429,700,1578,ANNOTATION,2023-07-11T03:38:08.015Z,L_dDLgQd,,,"[{'labelId': 'L_dDLgQd', 'probability': 0.8}]",1.2.826.0.1.3680043.8.498.40234804663612493800281874390930372515,1.2.826.0.1.3680043.8.498.36007172125011945522770917634517605101,1.2.826.0.1.3680043.8.498.30406638863109034826287923226149066681
O_vR6P3D,429,700,1578,ANNOTATION,2023-07-11T03:38:08.159Z,L_dDLgQd,,,"[{'labelId': 'L_dDLgQd', 'probability': 0.77}]",1.2.826.0.1.3680043.8.498.11885822206985831866681019679021052140,1.2.826.0.1.3680043.8.498.64722960117594065287978123601699767534,1.2.826.0.1.3680043.8.498.58698088516788622840118464584901206367
O_LP0qLD,429,700,1578,ANNOTATION,2023-07-11T03:40:40.030Z,L_dDLgQd,,,"[{'labelId': 'L_dDLgQd', 'probability': 0.9}]",1.2.826.0.1.3680043.8.498.97499870472456532122722091588318528201,1.2.826.0.1.3680043.8.498.97675739213633166972374239591343030114,1.2.826.0.1.3680043.8.498.98865286343618376400365439594034633764
O_PZQeOY,429,700,1578,ANNOTATION,2023-07-11T03:40:40.685Z,L_lbae3B,,,"[{'labelId': 'L_lbae3B', 'probability': 0.92}]",1.2.826.0.1.3680043.8.498.73215306502721847369846107721767003994,1.2.826.0.1.3680043.8.498.11469973015848966341822867447234313240,1.2.826.0.1.3680043.8.498.11131755310233943273235977980917540814
O_Z5goWa,429,700,1578,ANNOTATION,2023-07-11T03:40:45.896Z,L_dDLgQd,,,"[{'labelId': 'L_dDLgQd', 'probability': 0.74}]",1.2.826.0.1.3680043.8.498.23460471292775718468806845525743526646,1.2.826.0.1.3680043.8.498.37079703604632188423896613489819616977,1.2.826.0.1.3680043.8.498.48053201357009013694075052200964301393
O_M1K2LA,429,700,1578,ANNOTATION,2023-07-11T03:40:48.251Z,L_lbae3B,,,"[{'labelId': 'L_lbae3B', 'probability': 0.62}]",1.2.826.0.1.3680043.8.498.10126972208545710166371456704901531032,1.2.826.0.1.3680043.8.498.12782667098274591609712709448111617702,1.2.826.0.1.3680043.8.498.20881287430229359923409791243619219123
O_Ky6AQO,429,700,1578,ANNOTATION,2023-07-11T03:40:49.805Z,L_lbae3B,,,"[{'labelId': 'L_lbae3B', 'probability': 0.63}]",1.2.826.0.1.3680043.8.498.15448009913763784677096568769955800037,1.2.826.0.1.3680043.8.498.79362563025414305479460991681445767824,1.2.826.0.1.3680043.8.498.58902112035573981028458030065272338749
O_oz4j6D,429,700,1578,ANNOTATION,2023-07-11T03:40:50.142Z,L_lbae3B,,,"[{'labelId': 'L_lbae3B', 'probability': 0.94}]",1.2.826.0.1.3680043.8.498.84014347747054682303168438028216402182,1.2.826.0.1.3680043.8.498.43685456130200297451064861316116505007,1.2.826.0.1.3680043.8.498.44900108920368769698205730987729239507
O_vR6PaD,429,700,1578,ANNOTATION,2023-07-11T03:40:50.472Z,L_dDLgQd,,,"[{'labelId': 'L_dDLgQd', 'probability': 0.72}]",1.2.826.0.1.3680043.8.498.38248541042913918422478902732491037679,1.2.826.0.1.3680043.8.498.12779069791841906507232603110892592404,1.2.826.0.1.3680043.8.498.72597858136236262512687817250918315030
